time, id, name, x, y, z, h, p, r, speed, wheel_angle, wheel_rot
1.200, 0, Ego, -460.042, -147.719, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 1.187
1.200, 1, Obstacle, -625.892, -302.225, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.250, 0, Ego, -461.261, -148.856, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 5.949
1.250, 1, Obstacle, -625.892, -302.225, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.300, 0, Ego, -462.481, -149.992, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 4.428
1.300, 1, Obstacle, -625.892, -302.225, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.350, 0, Ego, -463.700, -151.128, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 2.906
1.350, 1, Obstacle, -625.892, -302.225, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.400, 0, Ego, -464.920, -152.264, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 1.385
1.400, 1, Obstacle, -625.892, -302.225, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.450, 0, Ego, -466.139, -153.400, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 6.147
1.450, 1, Obstacle, -625.892, -302.225, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.500, 0, Ego, -467.359, -154.536, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 4.626
1.500, 1, Obstacle, -625.892, -302.225, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.550, 0, Ego, -468.578, -155.672, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 3.104
1.550, 1, Obstacle, -625.892, -302.225, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.600, 0, Ego, -469.798, -156.808, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 1.583
1.600, 1, Obstacle, -625.892, -302.225, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.650, 0, Ego, -471.017, -157.944, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 0.062
1.650, 1, Obstacle, -625.892, -302.225, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.700, 0, Ego, -472.237, -159.080, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 4.824
1.700, 1, Obstacle, -625.892, -302.225, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.750, 0, Ego, -473.456, -160.216, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 3.302
1.750, 1, Obstacle, -625.892, -302.225, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.800, 0, Ego, -474.676, -161.352, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 1.781
1.800, 1, Obstacle, -625.892, -302.225, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.850, 0, Ego, -475.895, -162.488, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 0.260
1.850, 1, Obstacle, -625.892, -302.225, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.900, 0, Ego, -477.115, -163.624, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 5.021
1.900, 1, Obstacle, -625.892, -302.225, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
