time, id, name, x, y, z, h, p, r, speed, wheel_angle, wheel_rot
1.200, 0, Ego, -450.286, -138.631, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 0.791
1.200, 1, Obstacle, -560.853, -241.635, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.250, 0, Ego, -451.099, -139.388, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 3.966
1.250, 1, Obstacle, -560.853, -241.635, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.300, 0, Ego, -451.912, -140.146, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 0.857
1.300, 1, Obstacle, -560.853, -241.635, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.350, 0, Ego, -452.725, -140.903, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 4.032
1.350, 1, Obstacle, -560.853, -241.635, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.400, 0, Ego, -453.538, -141.661, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 0.923
1.400, 1, Obstacle, -560.853, -241.635, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.450, 0, Ego, -454.351, -142.418, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 4.098
1.450, 1, Obstacle, -560.853, -241.635, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.500, 0, Ego, -455.164, -143.175, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 0.989
1.500, 1, Obstacle, -560.853, -241.635, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.550, 0, Ego, -455.977, -143.933, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 4.164
1.550, 1, Obstacle, -560.853, -241.635, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.600, 0, Ego, -456.790, -144.690, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 1.055
1.600, 1, Obstacle, -560.853, -241.635, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.650, 0, Ego, -457.603, -145.447, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 4.230
1.650, 1, Obstacle, -560.853, -241.635, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.700, 0, Ego, -458.416, -146.205, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 1.121
1.700, 1, Obstacle, -560.853, -241.635, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.750, 0, Ego, -459.229, -146.962, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 4.296
1.750, 1, Obstacle, -560.853, -241.635, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.800, 0, Ego, -460.042, -147.719, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 1.187
1.800, 1, Obstacle, -560.853, -241.635, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
