time, id, name, x, y, z, h, p, r, speed, wheel_angle, wheel_rot
0.000, 0, Ego, -394.190, -86.372, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 0.000
0.000, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.050, 0, Ego, -395.003, -87.130, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 3.175
0.050, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.100, 0, Ego, -395.816, -87.887, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 0.066
0.100, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.150, 0, Ego, -396.629, -88.644, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 3.241
0.150, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.200, 0, Ego, -397.442, -89.402, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 0.132
0.200, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.250, 0, Ego, -398.255, -90.159, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 3.306
0.250, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.300, 0, Ego, -399.068, -90.916, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 0.198
0.300, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.350, 0, Ego, -399.881, -91.674, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 3.372
0.350, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.400, 0, Ego, -400.694, -92.431, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 0.264
0.400, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.450, 0, Ego, -401.507, -93.189, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 3.438
0.450, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.500, 0, Ego, -402.320, -93.946, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 0.330
0.500, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.550, 0, Ego, -403.133, -94.703, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 3.504
0.550, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.600, 0, Ego, -403.946, -95.461, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 0.396
0.600, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.650, 0, Ego, -404.759, -96.218, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 3.570
0.650, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.700, 0, Ego, -405.572, -96.975, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 0.462
0.700, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.750, 0, Ego, -406.385, -97.733, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 3.636
0.750, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.800, 0, Ego, -407.198, -98.490, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 0.528
0.800, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.850, 0, Ego, -408.011, -99.248, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 3.702
0.850, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.900, 0, Ego, -408.824, -100.005, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 0.594
0.900, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
0.950, 0, Ego, -409.637, -100.762, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 3.768
0.950, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.000, 0, Ego, -410.450, -101.520, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 0.660
1.000, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.050, 0, Ego, -411.263, -102.277, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 3.834
1.050, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.100, 0, Ego, -412.076, -103.034, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 0.726
1.100, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.150, 0, Ego, -412.889, -103.792, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 3.900
1.150, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.200, 0, Ego, -413.702, -104.549, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 0.791
1.200, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.250, 0, Ego, -414.515, -105.306, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 3.966
1.250, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.300, 0, Ego, -415.328, -106.064, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 0.857
1.300, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.350, 0, Ego, -416.141, -106.821, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 4.032
1.350, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.400, 0, Ego, -416.954, -107.579, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 0.923
1.400, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.450, 0, Ego, -417.767, -108.336, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 4.098
1.450, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.500, 0, Ego, -418.580, -109.093, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 0.989
1.500, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.550, 0, Ego, -419.393, -109.851, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 4.164
1.550, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.600, 0, Ego, -420.206, -110.608, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 1.055
1.600, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.650, 0, Ego, -421.019, -111.365, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 4.230
1.650, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.700, 0, Ego, -421.832, -112.123, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 1.121
1.700, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.750, 0, Ego, -422.645, -112.880, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 4.296
1.750, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.800, 0, Ego, -423.458, -113.638, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 1.187
1.800, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.850, 0, Ego, -424.271, -114.395, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 4.362
1.850, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.900, 0, Ego, -425.083, -115.152, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 1.253
1.900, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.950, 0, Ego, -425.896, -115.910, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 4.428
1.950, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.000, 0, Ego, -426.709, -116.667, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 1.319
2.000, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.050, 0, Ego, -427.522, -117.424, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 4.494
2.050, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.100, 0, Ego, -428.335, -118.182, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 1.385
2.100, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.150, 0, Ego, -429.148, -118.939, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 4.560
2.150, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.200, 0, Ego, -429.961, -119.696, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 1.451
2.200, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.250, 0, Ego, -430.774, -120.454, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 4.626
2.250, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.300, 0, Ego, -431.587, -121.211, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 1.517
2.300, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.350, 0, Ego, -432.400, -121.969, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 4.692
2.350, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.400, 0, Ego, -433.213, -122.726, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 1.583
2.400, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.450, 0, Ego, -434.026, -123.483, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 4.758
2.450, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.500, 0, Ego, -434.839, -124.241, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 1.649
2.500, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.550, 0, Ego, -435.652, -124.998, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 4.824
2.550, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.600, 0, Ego, -436.465, -125.755, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 1.715
2.600, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.650, 0, Ego, -437.278, -126.513, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 4.889
2.650, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.700, 0, Ego, -438.091, -127.270, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 1.781
2.700, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.750, 0, Ego, -438.904, -128.028, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 4.955
2.750, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.800, 0, Ego, -439.717, -128.785, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 1.847
2.800, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.850, 0, Ego, -440.530, -129.542, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 5.021
2.850, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.900, 0, Ego, -441.343, -130.300, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 1.913
2.900, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
2.950, 0, Ego, -442.156, -131.057, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 5.087
2.950, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
3.000, 0, Ego, -442.969, -131.814, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 1.979
3.000, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
3.050, 0, Ego, -443.782, -132.572, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 5.153
3.050, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
3.100, 0, Ego, -444.595, -133.329, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 2.045
3.100, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
3.150, 0, Ego, -445.408, -134.086, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 5.219
3.150, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
3.200, 0, Ego, -446.221, -134.844, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 2.111
3.200, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
3.250, 0, Ego, -447.034, -135.601, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 5.285
3.250, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
3.300, 0, Ego, -447.847, -136.359, 0.000, 3.892, 0.000, 0.000, 22.222, 0.000, 2.177
3.300, 1, Obstacle, -496.627, -181.802, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
