time, id, name, x, y, z, h, p, r, speed, wheel_angle, wheel_rot
1.200, 1, NPC, -469.800, -156.810, 0.000, 3.892, 0.000, 0.000, 27.780, 0.000, 0.998
1.250, 0, Ego, -419.598, -110.042, 0.000, 3.892, 0.000, 0.000, 27.780, 0.000, 4.967
1.250, 1, NPC, -470.816, -157.757, 0.000, 3.892, 0.000, 0.000, 27.780, 0.000, 4.967
1.300, 0, Ego, -420.614, -110.989, 0.000, 3.892, 0.000, 0.000, 27.780, 0.000, 2.652
1.300, 1, NPC, -471.833, -158.704, 0.000, 3.892, 0.000, 0.000, 27.780, 0.000, 2.652
1.350, 0, Ego, -421.631, -111.936, 0.000, 3.892, 0.000, 0.000, 27.780, 0.000, 0.337
1.350, 1, NPC, -472.849, -159.650, 0.000, 3.892, 0.000, 0.000, 27.780, 0.000, 0.337
1.400, 0, Ego, -422.647, -112.883, 0.000, 3.892, 0.000, 0.000, 27.780, 0.000, 4.306
1.400, 1, NPC, -473.865, -160.597, 0.000, 3.892, 0.000, 0.000, 27.780, 0.000, 4.306
1.450, 0, Ego, -423.663, -113.829, 0.000, 3.892, 0.000, 0.000, 27.780, 0.000, 1.991
1.450, 1, NPC, -474.882, -161.544, 0.000, 3.892, 0.000, 0.000, 27.780, 0.000, 1.991
1.500, 0, Ego, -424.680, -114.776, 0.000, 3.892, 0.000, 0.000, 27.780, 0.000, 5.960
1.500, 1, NPC, -475.898, -162.491, 0.000, 3.892, 0.000, 0.000, 27.780, 0.000, 5.960
1.550, 0, Ego, -425.696, -115.723, 0.000, 3.892, 0.000, 0.000, 27.780, 0.000, 3.645
1.550, 1, NPC, -476.914, -163.438, 0.000, 3.892, 0.000, 0.000, 27.780, 0.000, 3.645
1.600, 0, Ego, -426.712, -116.670, 0.000, 3.892, 0.000, 0.000, 27.780, 0.000, 1.331
1.600, 1, NPC, -477.931, -164.384, 0.000, 3.892, 0.000, 0.000, 27.780, 0.000, 1.331
1.650, 0, Ego, -427.729, -117.617, 0.000, 3.892, 0.000, 0.000, 27.780, 0.000, 5.299
1.650, 1, NPC, -478.947, -165.331, 0.000, 3.892, 0.000, 0.000, 27.780, 0.000, 5.299
1.700, 0, Ego, -428.745, -118.563, 0.000, 3.892, 0.000, 0.000, 27.780, 0.000, 2.985
1.700, 1, NPC, -479.963, -166.278, 0.000, 3.892, 0.000, 0.000, 27.780, 0.000, 2.985
1.750, 0, Ego, -429.761, -119.510, 0.000, 3.892, 0.000, 0.000, 27.780, 0.000, 0.670
1.750, 1, NPC, -480.980, -167.225, 0.000, 3.892, 0.000, 0.000, 27.780, 0.000, 0.670
1.800, 0, Ego, -430.778, -120.457, 0.000, 3.892, 0.000, 0.000, 27.780, 0.000, 4.638
1.800, 1, NPC, -481.996, -168.172, 0.000, 3.892, 0.000, 0.000, 27.780, 0.000, 4.638
1.850, 0, Ego, -431.794, -121.404, 0.000, 3.892, 0.000, 0.000, 27.780, 0.000, 2.324
1.850, 1, NPC, -483.012, -169.118, 0.000, 3.892, 0.000, 0.000, 27.780, 0.000, 2.324
1.900, 0, Ego, -432.810, -122.351, 0.000, 3.892, 0.000, 0.000, 27.780, 0.000, 0.009
1.900, 1, NPC, -484.029, -170.065, 0.000, 3.892, 0.000, 0.000, 27.780, 0.000, 0.009
1.950, 0, Ego, -433.827, -123.297, 0.000, 3.892, 0.000, 0.000, 27.780, 0.000, 3.978
1.950, 1, NPC, -485.045, -171.012, 0.000, 3.892, 0.000, 0.000, 27.780, 0.000, 3.978
2.000, 0, Ego, -434.843, -124.244, 0.000, 3.892, 0.000, 0.000, 27.780, 0.000, 1.663
2.000, 1, NPC, -486.061, -171.959, 0.000, 3.892, 0.000, 0.000, 27.780, 0.000, 1.663
2.050, 0, Ego, -435.859, -125.191, 0.000, 3.892, 0.000, 0.000, 27.780, 0.000, 5.632
2.050, 1, NPC, -487.077, -172.906, 0.000, 3.892, 0.000, 0.000, 27.780, 0.000, 5.632
2.100, 0, Ego, -436.876, -126.138, 0.000, 3.892, 0.000, 0.000, 27.780, 0.000, 3.317
