time, id, name, x, y, z, h, p, r, speed, wheel_angle, wheel_rot
1.200, 0, Ego, -423.458, -113.638, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 1.187
1.200, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.250, 0, Ego, -424.677, -114.774, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 5.949
1.250, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.300, 0, Ego, -425.896, -115.910, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 4.428
1.300, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.350, 0, Ego, -427.116, -117.046, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 2.906
1.350, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.400, 0, Ego, -428.335, -118.182, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 1.385
1.400, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.450, 0, Ego, -429.555, -119.318, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 6.147
1.450, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.500, 0, Ego, -430.774, -120.454, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 4.626
1.500, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.550, 0, Ego, -431.994, -121.590, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 3.104
1.550, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.600, 0, Ego, -433.213, -122.726, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 1.583
1.600, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.650, 0, Ego, -434.433, -123.862, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 0.062
1.650, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.700, 0, Ego, -435.652, -124.998, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 4.824
1.700, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.750, 0, Ego, -436.872, -126.134, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 3.302
1.750, 1, Obstacle, -558.820, -239.741, 0.000, 3.892, 0.000, 0.000, 0.000, 0.000, 0.000
1.800, 0, Ego, -438.091, -127.270, 0.000, 3.892, 0.000, 0.000, 33.333, 0.000, 1.781
