Scenario,Collision,Min_Distance_m,Impact_Speed_kph
S1_AEB_damp_120kph,1,0.56,89.8
S1_AEB_damp_50kph,0,6.99,0.0
S1_AEB_damp_80kph,1,0.0,2.2
S1_AEB_dry_120kph,1,0.56,89.8
S1_AEB_dry_50kph,0,6.99,0.0
S1_AEB_dry_80kph,1,0.0,2.2
S1_AEB_icy_120kph,1,0.56,89.8
S1_AEB_icy_50kph,0,6.99,0.0
S1_AEB_icy_80kph,1,0.0,2.2
S1_AEB_wet_120kph,1,0.56,89.8
S1_AEB_wet_50kph,0,6.99,0.0
S1_AEB_wet_80kph,1,0.0,2.2
